"","AAPL","AXP","BA","CAT","CSCO","CVX","DD","DIS","GE","GS","HD","IBM","INTC","JNJ","JPM","KO","MCD","MMM","MRK","MSFT","NKE","PFE","PG","TRV","UNH","UTX","V","VZ","WMT","XOM"
"2013-07-17","5.40150929374998e-05","0.00191193070827805","5.59410148062341e-05","0.000418361948744627","8.22417709488835e-05","4.59798719169248e-05","0.000982260025578304","5.06823641477855e-05","8.48905497032128e-05","0.000178539273882905","0.000124092573697725","5.89513323844583e-05","0.000128964233572493","8.26244432771393e-05","5.98472315699515e-05","0.000149169058732429","0.000102711462056615","4.46364461172753e-05","3.75252168767321e-05","9.87051071239387e-05","4.00185155076564e-05","5.66056817872102e-05","6.00643706754319e-05","6.14688616295193e-05","0.000122881712666817","0.000103111440341014","6.66095278298418e-05","0.00010287662020371","5.27794357555654e-05","4.958808045363e-05"
"2013-07-18","7.59653370350168e-05","0.000537068820764079","0.000157956095091699","6.95553629259325e-05","0.000120897708951529","2.58965668761134e-05","0.000157819677705912","6.75681581672225e-05","9.63889028719961e-05","7.17931016589468e-05","3.37283515538083e-05","0.000995912975474371","0.00111079739024019","4.03417782126366e-05","7.32233053606514e-05","4.1026721172932e-05","4.41965500983351e-05","2.44116165693245e-05","5.6831566310451e-05","9.85837441296566e-05","4.20257732442162e-05","4.46339274214616e-05","2.55540977403421e-05","7.17212266317429e-05","0.00236274577094194","2.90325603004725e-05","4.31771716563033e-05","0.000348364096674697","2.48253257958688e-05","4.44108843264565e-05"
"2013-07-19","0.000142540114676573","9.32143047506738e-05","0.000129980541263031","6.08250128887031e-05","7.52476184362243e-05","3.18124478331568e-05","4.70588953447733e-05","5.70095853060649e-05","0.000932265795901567","6.99602895129117e-05","2.83326649885812e-05","7.80494481251453e-05","0.000103504937824248","4.58901818697583e-05","0.000124954112227577","2.55787955756123e-05","3.46410817111175e-05","2.64109316323352e-05","4.91909595463987e-05","0.00867636039271671","6.22133850974854e-05","0.000148249462608574","3.89030587998212e-05","2.88689344078883e-05","0.000317123678158501","5.92617070162975e-05","8.79422636854821e-05","7.52028550377491e-05","1.85880750046362e-05","3.5782480961081e-05"
"2013-07-22","0.000163401801728205","3.93142537804662e-05","3.3967105228832e-05","9.36235624536942e-05","0.000132486607314836","3.44705808763961e-05","4.18676159372244e-05","6.57442378488397e-05","3.21284011694818e-05","6.78804560762301e-05","4.45294286660125e-05","4.07972854602354e-05","6.43731980664769e-05","3.62054153090043e-05","5.31716949603233e-05","2.81179463885352e-05","0.00072519355661966","7.04805607705698e-05","6.86602658288581e-05","0.000218626457110558","5.38850769348969e-05","0.000106185221884337","4.32562201732416e-05","2.77914511528504e-05","8.4315252418716e-05","0.000164404977746413","4.64975115726403e-05","6.54904752939326e-05","3.50797619755436e-05","4.35682482651714e-05"
"2013-07-23","6.4714821107104e-05","6.4474592740453e-05","9.08019217386867e-05","8.54783477018398e-05","8.33575459667178e-05","2.97462032236361e-05","0.00256421063466352","4.61994750461507e-05","4.83366141244754e-05","9.25639812379801e-05","2.73059101406794e-05","2.89313030025594e-05","0.000154853228898266","3.92283792976881e-05","5.82739450552896e-05","5.60964341010187e-05","3.02192346816249e-05","5.11744610350014e-05","5.76894145329498e-05","9.08022965883983e-05","4.80735652714597e-05","3.25726890791662e-05","2.4665889139612e-05","0.000317766533446444","5.1856571733996e-05","0.00028715918034211","5.85273863625945e-05","5.66960178564828e-05","2.64853370727532e-05","1.45403631499603e-05"
"2013-07-24","0.00226525504468221","0.000105698172752634","0.000329270106921123","0.000392800239566466","0.000213106184816844","4.69530532288899e-05","0.000143574959685166","3.50102528811732e-05","3.01452668232648e-05","9.1563135458473e-05","6.51492347312803e-05","7.30125372531304e-05","0.000132374163935817","5.09783709668003e-05","8.95519893580486e-05","6.54072766422183e-05","5.91138636005393e-05","4.2652036865369e-05","7.56122237293977e-05","8.49503169903359e-05","6.39891294615337e-05","3.09080496465985e-05","1.10864140144713e-05","9.89884015886468e-05","7.90341379455752e-05","0.00011026963740222","0.00015515320311754","0.000103027205504321","3.67426009881382e-05","4.18082097969442e-05"
"2013-07-25","0.000101448305438572","6.62665630674947e-05","0.000111484715141483","0.000405408912310328","8.73917055267413e-05","5.87263795978904e-05","8.12651134987681e-05","6.85132951256355e-05","2.31091366669151e-05","0.00012216409576816","0.000204227319467584","5.92727057257079e-05","7.38453215938587e-05","6.20099668364504e-05","7.95306157799903e-05","4.18869434535618e-05","4.26576546918172e-05","0.00015254951457277","8.86353042427564e-05","0.000168553932302089","6.69884195704916e-05","0.000191124625750079","4.11387628231467e-05","0.000109101621490168","0.000103015178257984","7.13088037929088e-05","0.000691753068331465","3.84613894415943e-05","7.49155255530504e-05","7.72439575073125e-05"
"2013-07-26","0.0001249085854859","7.74857024764856e-05","0.000105196302221589","6.67569805174522e-05","0.000148289335678112","6.77714123009739e-05","8.58354535625324e-05","4.85587182159604e-05","2.8548439251391e-05","6.93689193602632e-05","0.000118452908281623","5.80901805614991e-05","7.45147858700635e-05","5.46971191981436e-05","9.94869028419274e-05","0.000108266186009789","5.60355017457946e-05","3.96613056218312e-05","9.37278076920129e-05","6.71157573999288e-05","7.9432642109854e-05","0.000120618149243143","6.55341464668209e-05","7.15904674132937e-05","0.000128769640025648","6.70518246870731e-05","5.30673782284978e-05","5.90120994853868e-05","5.07380739265184e-05","3.86418358837041e-05"
"2013-07-29","5.76717269390698e-05","4.88727467328052e-05","0.000406066100843137","0.000178642672791632","9.81795207623289e-05","3.88082729355847e-05","0.000101650072211958","6.68310518503759e-05","4.69939383862679e-05","9.62121327468494e-05","4.2941755898404e-05","2.94011367451683e-05","0.000102807454330277","4.77809128121675e-05","5.08756321045513e-05","3.69302322619986e-05","3.2781578828249e-05","3.97670646861579e-05","0.000115528796255921","8.8435710886059e-05","4.7880127698491e-05","0.00011962381916078","3.84706258873291e-05","3.59235372268255e-05","7.128092440494e-05","8.01316998458773e-05","4.29624173970384e-05","3.60960613255041e-05","2.36466235146231e-05","2.88038268715908e-05"
"2013-07-30","0.000125068144767915","6.86605044407073e-05","3.95133821613171e-05","0.000136542766722539","0.000194786689753256","4.65214804269772e-05","7.06194562830222e-05","4.11069206807991e-05","2.6613345085472e-05","7.59491531950462e-05","7.23413980293911e-05","5.90894215335026e-05","8.40911699786654e-05","5.85301469156919e-05","5.14517128866162e-05","5.46178023445435e-05","4.1792011042166e-05","3.986765025598e-05","0.00061076886402456","0.000151319122532103","2.37154366736948e-05","0.000244900094850764","7.84827838982412e-05","5.23062734196784e-05","0.000155125655359117","7.3526612521013e-05","6.50495050677377e-05","0.000179788421462292","3.3200971524897e-05","2.95230147666156e-05"
"2013-07-31","0.000179128832283963","0.000287589432384042","0.000100103337569488","0.000167656614320082","9.50096123802142e-05","8.54727870346201e-05","0.00013193484510605","8.49375399937054e-05","9.62130094883953e-05","0.000139416633285614","6.71590349587021e-05","0.000110664690843811","9.21461441830626e-05","7.5019660052327e-05","0.000134088161889622","4.92077434158211e-05","4.43548073436458e-05","8.53107396124148e-05","0.000227017780300839","6.49956322978585e-05","7.47240792547557e-05","0.000129719293150841","5.33209040791786e-05","7.03272616120598e-05","9.16333564431807e-05","9.92764244438857e-05","0.0042427889569125","0.0001020731856006","5.38861805809024e-05","7.50688731912297e-05"
"2013-08-01","8.64694606608691e-05","0.000201149580196973","8.57455943073153e-05","0.000153355496261706","0.000135046417429155","5.6335259391009e-05","0.000101500092681898","0.000115602392950736","0.00016017613572694","0.00024494109958401","7.42753474657274e-05","8.02187046138857e-05","0.000169432911416722","5.36921888216755e-05","0.000216128728366765","9.76960771944449e-05","0.000101257778303724","8.58444245186081e-05","9.23605011653169e-05","0.000106592478119781","0.000191048234505404","0.000107701104097943","0.000170522577577943","0.000123216205893249","0.00010454847099016","0.000118656085760678","0.00123905678125604","0.00015755636398326","4.40715621675543e-05","0.000287217930402187"
"2013-08-02","7.20177208524815e-05","3.03894961811168e-05","0.000129740447588972","0.000103432130079284","6.09157108543176e-05","0.000273036034533681","0.000710359210265967","2.65838246239754e-05","4.36620336236657e-05","4.74111616754949e-05","6.28618436071288e-05","3.95659033754361e-05","3.5563079348977e-05","2.54300125777399e-05","7.97259613445101e-05","0.000226609790036421","3.5315231443173e-05","4.11564969423635e-05","4.29904092211963e-05","2.79933738657351e-05","0.000115227282170711","8.44659830284762e-05","5.00545065585109e-05","1.86107168063573e-05","3.31954880909655e-05","5.09673884836687e-05","0.000343896919036161","9.70622337413974e-05","1.4795502734149e-05","4.1429726303106e-05"
"2013-08-05","0.000135566239001329","4.29058741393767e-05","6.70170153081165e-05","4.53292631777237e-05","9.62748361340114e-05","2.42752044500092e-05","8.95338958070049e-05","7.21683733137341e-05","3.74514041170516e-05","0.000126848416695642","4.20323182049214e-05","3.85553187388074e-05","4.91629015586115e-05","4.1514622523122e-05","6.18155197656037e-05","4.4230007063147e-05","2.95128481216272e-05","1.90808657224266e-05","3.45001945093944e-05","5.01465020753403e-05","3.93916928474908e-05","3.26398482481032e-05","3.94843982604008e-05","2.12843245862682e-05","6.57212001344665e-05","3.92338848337236e-05","5.40199153647351e-05","3.91206857321226e-05","4.84288894581876e-05","5.48869740781883e-05"
"2013-08-06","0.000131733385559352","3.93155480693534e-05","7.45522632203061e-05","5.06093218428092e-05","6.50165168778134e-05","3.48976031890316e-05","7.99774359363691e-05","8.1920320558244e-05","2.88595220979972e-05","0.000144390914153681","9.1961315112523e-05","0.000336029918873377","3.90326639222902e-05","1.15010534398175e-05","4.79946583711536e-05","2.16319748277423e-05","3.41640370328422e-05","2.40160861438775e-05","4.49612408527237e-05","4.97453106011739e-05","8.30594324393478e-05","4.93017383053404e-05","2.77752584720627e-05","5.85569163647749e-05","6.39024281239724e-05","5.07129998684978e-05","0.000140250405398396","3.50225130503174e-05","8.12429997244334e-05","4.36685664231076e-05"
"2013-08-07","0.000120424442747531","7.72481121385714e-05","5.00705308268867e-05","0.000120303595623584","6.32083024092928e-05","2.37756909898663e-05","0.000106166540192885","0.00125834217976602","4.97307478388429e-05","0.000107351853623152","0.000100998261537881","4.34203456590945e-05","5.82218262028733e-05","2.60395021511995e-05","0.000108472416741829","1.89323993886356e-05","2.72787822968449e-05","2.96483609414993e-05","3.60403321777801e-05","0.000138739180873171","6.97840010047014e-05","6.78498032646945e-05","4.54683826601703e-05","6.18021019687885e-05","4.686678490133e-05","4.99490328150126e-05","0.00018850849525865","4.31565162706689e-05","6.45001663768045e-05","2.38214044852434e-05"
"2013-08-08","0.000138399063217301","0.000137018890517184","8.93002372802504e-05","0.000102045141815476","6.25922628562994e-05","7.65301008975762e-05","0.000109355011051494","0.000155633112585649","7.67166558112405e-05","0.000209572010361741","9.30062970120486e-05","0.000126476169894892","7.33617230458925e-05","7.52100830137657e-05","0.000166565376026166","2.51013522799644e-05","9.87030470316377e-05","5.19382144090182e-05","6.8803699451181e-05","0.000300457963448625","9.99532826469875e-05","3.80260523860746e-05","5.67738463911403e-05","8.82641553583191e-05","6.6397628828783e-05","9.98804108596073e-05","0.000110107348481528","5.52640461714284e-05","3.74210946832297e-05","5.727743668316e-05"
"2013-08-09","9.80447917465749e-05","5.30538336991869e-05","0.000143090490020912","8.78570403165067e-05","0.000128917202047219","5.17103819167414e-05","5.58868717775635e-05","6.90331318327598e-05","4.08997614872672e-05","0.000111323514356745","9.75148869514161e-05","6.54310721379226e-05","8.32961688926064e-05","8.16959547846108e-05","7.14215820585864e-05","2.5618739065656e-05","3.10163460526519e-05","7.66885922643165e-05","6.72832288411545e-05","0.000116309349760139","8.20459942356277e-05","3.54158063720815e-05","7.63471539507839e-05","4.04875903494611e-05","9.50597645066665e-05","7.55315919091736e-05","8.32096533676529e-05","9.6295084711292e-05","3.72093844549805e-05","2.51537224051331e-05"
"2013-08-12","0.000108209551174799","6.0963041998108e-05","6.4282584702618e-05","8.00891758514875e-05","0.000114845812160188","4.77032083085907e-05","3.72845263342846e-05","0.000108722415822009","4.0788534259462e-05","6.04816410068642e-05","6.10591871817918e-05","7.93286355567701e-05","3.60575967537626e-05","5.11680512716844e-05","0.000135868557998363","3.65048745884983e-05","2.18771134747847e-05","2.95369430084479e-05","0.000121903719931671","0.000249548520195764","6.95259287777372e-05","6.68197221955305e-05","5.42694119061299e-05","6.77356319837802e-05","9.49438913462273e-05","4.56145653772739e-05","5.97624334655876e-05","5.24959522495478e-05","5.88648323309398e-05","3.15318718016144e-05"
